ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20313,2025/26,25,Athletic,Izeta,Delantero,3.0,26,ES,10%,Sano,9,0,0,0,2,0,1.5,12,1.3,0,0,0
20318,2025/26,25,Sevilla,Januzaj,Mediocampista,4.0,31,BE,0%,Lesionado/Duda,10,0,0,0,1,0,-1,20,2,0,0,0
20313,2025/26,25,Athletic,Jauregizar,Mediocampista,13.0,22,ES,0%,Lesionado/Duda,24,2,0,0,2,0,1.7,118,4.9,11,5,4
20322,2025/26,25,Valencia,Javi Guerra,Mediocampista,9.0,22,ES,40%,Sano,23,0,3,0,2,0,2,78,3.4,9,1,0
20321,2025/26,25,Real Oviedo,Javi López,Defensa,6.0,23,ES,60%,Sano,11,0,0,0,0,0,1.5,28,2.5,0,7,0
20318,2025/26,25,Getafe,Javi Muñoz,Mediocampista,5.0,30,ES,10%,Sano,13,0,0,0,0,0,1,29,2.2,1,0,2
20316,2025/26,25,Celta,Javi Rodríguez,Defensa,11.0,22,ES,30%,Sano,20,0,0,0,3,0,1.3,78,3.9,2,2,9
20322,2025/26,25,Valencia,Jesús Vázquez,Defensa,6.0,23,ES,10%,Sano,14,0,0,0,2,0,-1,34,2.4,1,0,0
20315,2025/26,25,Barcelona,Joan Garcia,Portero,31.0,24,ES,95%,Sano,18,0,0,0,1,0,1.9,162,9,11,12,9
20314,2025/26,25,Espanyol,Jofre,Delantero,7.0,24,ES,30%,Sano,16,0,0,0,1,0,1.2,44,2.8,1,0,3
20313,2025/26,25,Elche,John C.,Defensa,5.0,25,ES,30%,Sano,14,1,0,0,2,0,0.7,31,2.2,2,-1,0
20321,2025/26,25,Real Sociedad,Jon Martín,Defensa,11.0,19,ES,60%,Sano,15,0,0,0,4,0,2,57,3.8,2,0,7
20317,2025/26,25,Alavés,Jonny,Defensa,10.0,31,ES,80%,Sano,23,0,0,0,5,0,0.9,79,3.4,0,-1,1
20318,2025/26,25,Sevilla,Jordan,Mediocampista,2.0,31,ES,0%,Sano,3,0,0,0,1,1,-1,3,1,-3,0,0
20313,2025/26,25,Elche,Josan,Mediocampista,7.0,36,ES,0%,Sano,12,0,2,0,2,0,-1,48,4,0,0,0
20316,2025/26,25,Mallorca,Joseph,Delantero,11.0,22,ES,30%,Sano,23,2,2,0,2,0,1,87,3.8,0,1,8
20317,2025/26,25,Girona,Juan Carlos,Portero,1.0,38,ES,0%,Lesionado/Duda,0,0,0,0,0,0,-1,0,0,0,0,0
20319,2025/26,25,Osasuna,Juan Cruz,Defensa,6.0,33,ES,20%,Sano,12,0,0,0,0,0,-1,35,2.9,0,0,0
20318,2025/26,25,Sevilla,Juanlu,Mediocampista,11.0,22,ES,0%,Sano,20,0,2,0,3,1,0.9,77,3.9,-1,4,3
20318,2025/26,25,Getafe,Juanmi,Delantero,4.0,32,ES,0%,Sano,8,1,0,0,0,0,-1,18,2.3,0,0,0
20320,2025/26,25,Betis,Junior,Defensa,7.0,29,DO,10%,Sano,8,0,1,0,2,0,-1,29,3.6,0,0,0
20316,2025/26,25,Celta,Jutglà,Delantero,8.0,27,ES,60%,Sano,16,3,1,0,3,0,1.6,61,3.8,8,2,0
20318,2025/26,25,Getafe,Kamara,Delantero,4.0,22,EN,0%,Lesionado/Duda,9,0,0,0,1,0,-1,16,1.8,0,0,0
20322,2025/26,25,Villarreal,Kambwala,Defensa,5.3,21,FR,0%,Lesionado/Duda,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,0,0,0,0
20321,2025/26,25,Real Sociedad,Karrikaburu,Delantero,3.0,23,ES,0%,Sano,6,0,0,0,0,0,-1,9,1.5,0,0,0
20319,2025/26,25,Osasuna,Kike Barja,Delantero,3.0,28,ES,10%,Sano,15,0,0,0,2,0,-1,22,1.5,0,0,0
20314,2025/26,25,Espanyol,Kike García,Delantero,9.0,36,ES,50%,Sano,23,4,1,0,3,0,1.4,83,3.6,8,2,2
20318,2025/26,25,Sevilla,Kike Salas,Defensa,11.0,23,ES,90%,Sano,13,1,0,0,0,0,2.1,67,5.2,8,10,-2
20314,2025/26,25,Atlético,Koke,Mediocampista,14.0,34,ES,40%,Sano,22,2,2,0,4,0,0.8,113,5.1,0,7,3
20315,2025/26,25,Barcelona,Koundé,Defensa,11.0,27,FR,60%,Sano,23,1,2,0,4,0,1.1,105,4.6,4,9,5
20317,2025/26,25,Girona,Krapyvtsov,Portero,3.0,20,UA,0%,Sano,2,0,0,0,0,0,-1,3,1.5,0,0,0
20321,2025/26,25,Real Sociedad,Kubo,Mediocampista,13.0,24,JP,0%,Lesionado/Duda,18,2,3,0,0,0,-1,104,5.8,0,0,0
20316,2025/26,25,Mallorca,Kumbulla,Defensa,4.0,26,AL,5%,Lesionado/Duda,7,0,0,0,1,0,-1,9,1.3,0,0,0
20321,2025/26,25,Real Oviedo,L. Ilic,Mediocampista,5.0,26,RS,10%,Lesionado/Duda,14,1,0,0,4,1,-1,27,1.9,0,0,0
20316,2025/26,25,Celta,Lago,Defensa,5.0,21,ES,30%,Sano,4,0,0,0,2,0,-1,10,2.5,0,0,0
20313,2025/26,25,Athletic,Laporte,Defensa,10.0,31,ES,70%,Sano,13,0,1,0,2,0,1.8,60,4.6,7,1,0
20317,2025/26,25,Girona,Lass,Mediocampista,1.0,21,GN,0%,Sano,5,0,0,0,0,1,-1,0,0,0,0,0
20316,2025/26,25,Mallorca,Lato,Defensa,4.0,28,ES,40%,Sano,7,0,1,0,1,0,-1,11,1.6,2,0,0
20314,2025/26,25,Atlético,Le Normand,Defensa,10.0,29,ES,50%,Sano,18,1,0,0,2,0,0.8,79,4.4,3,3,12
20320,2025/26,25,Rayo,Lejeune,Defensa,17.0,34,FR,95%,Sano,23,0,0,0,3,0,1.7,133,5.8,12,4,5
20313,2025/26,25,Athletic,Lekue,Defensa,5.0,32,ES,30%,Sano,7,0,0,0,1,2,1,14,2,0,2,0
20317,2025/26,25,Girona,Lemar,Mediocampista,9.0,30,FR,90%,Sano,15,2,1,0,2,0,2.1,70,4.7,11,14,3
20314,2025/26,25,Atlético,Lenglet,Defensa,9.0,30,FR,50%,Sano,11,0,0,0,4,1,0,48,4.4,3,0,2
20316,2025/26,25,Mallorca,Leo Román,Portero,13.0,25,ES,95%,Sano,19,0,0,1,2,0,1.9,96,5.1,5,3,7
20318,2025/26,25,Getafe,Letácek,Portero,1.0,27,CZ,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20315,2025/26,25,Barcelona,Lewandowski,Delantero,11.0,37,PL,50%,Sano,19,10,1,0,2,0,1.3,108,5.7,2,10,2
20318,2025/26,25,Getafe,Liso,Delantero,10.0,20,ES,30%,Sano,20,3,0,0,2,0,1,67,3.4,2,5,1
20316,2025/26,25,Mallorca,Llabrés,Delantero,3.0,23,ES,10%,Sano,12,0,0,0,0,0,1,21,1.8,0,1,0
20320,2025/26,25,Betis,Lo Celso,Mediocampista,10.0,29,AR,0%,Lesionado/Duda,17,2,2,0,3,0,-1,93,5.5,0,0,0
20315,2025/26,25,Levante,Losada,Delantero,6.0,24,ES,30%,Sano,13,2,0,0,1,0,0.7,39,3,1,3,0
20314,2025/26,25,Espanyol,Lozano,Mediocampista,10.0,26,ES,70%,Sano,22,1,0,0,6,0,1.6,64,2.9,4,3,0
20318,2025/26,25,Getafe,Luis Milla,Mediocampista,23.0,31,ES,95%,Sano,23,0,8,0,2,1,1.8,169,7.3,3,14,10
20320,2025/26,25,Rayo,Luiz Felipe,Defensa,5.0,28,IT,20%,Sano,8,0,0,0,1,0,-1,19,2.4,0,2,0
20322,2025/26,25,Villarreal,Luiz Junior,Portero,23.0,25,BR,90%,Sano,21,0,0,1,3,0,1.4,160,7.6,14,3,6
20319,2025/26,25,Real Madrid,Lunin,Portero,1.0,27,UA,5%,Sano,0,0,0,0,0,1,-1,-1,0,0,0,0
20316,2025/26,25,Celta,M. Alonso,Defensa,19.0,35,ES,50%,Sano,21,1,0,0,2,0,1.7,135,6.4,7,4,10
20314,2025/26,25,Atlético,M. Llorente,Defensa,18.0,31,ES,50%,Sano,20,0,3,0,4,0,1,124,6.2,0,3,2
20316,2025/26,25,Mallorca,Maffeo,Defensa,10.0,28,AR,80%,Sano,19,1,0,0,6,0,1,69,3.6,-1,0,6
20318,2025/26,25,Sevilla,Manu Bueno,Mediocampista,4.0,21,ES,0%,Sano,4,0,0,0,0,0,-1,10,2.5,0,0,0
20316,2025/26,25,Celta,Manu Fernández,Defensa,7.0,24,ES,70%,Sano,12,0,0,0,2,0,-1,41,3.4,0,0,0
20315,2025/26,25,Levante,Manu Sánchez,Defensa,10.0,25,ES,80%,Sano,20,1,1,0,5,0,0.7,62,3.1,0,2,-2
20320,2025/26,25,Betis,Marc Roca,Mediocampista,11.0,29,ES,90%,Sano,19,0,1,0,1,0,2.1,86,4.5,6,7,4
20316,2025/26,25,Celta,Marc Vidal,Portero,0.6,26,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20318,2025/26,25,Sevilla,Marcão,Defensa,9.0,29,BR,0%,Lesionado/Duda,13,0,0,0,4,1,-1,46,3.5,0,0,0
20317,2025/26,25,Alavés,Mariano,Delantero,4.0,32,DO,0%,Sano,9,0,0,0,1,0,-1,17,1.9,0,0,0
20318,2025/26,25,Getafe,Mario Martín,Mediocampista,10.0,21,ES,0%,Lesionado/Duda,22,2,0,0,8,0,1.2,58,2.6,0,0,6
20321,2025/26,25,Real Sociedad,Marrero,Portero,1.0,24,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20313,2025/26,25,Elche,Martim Neto,Mediocampista,11.0,23,PT,40%,Sano,20,2,4,0,1,0,0.9,104,5.2,2,1,2
20315,2025/26,25,Barcelona,Martín,Defensa,10.0,23,ES,50%,Sano,20,0,0,0,4,0,1,82,4.1,4,0,0
20321,2025/26,25,Real Sociedad,Marín,Mediocampista,7.0,22,ES,70%,Sano,21,0,0,0,1,0,1.4,47,2.2,0,3,5
20316,2025/26,25,Mallorca,Mascarell,Mediocampista,10.0,33,GQ,60%,Sano,17,1,1,0,3,0,1.5,63,3.7,2,1,1
20319,2025/26,25,Real Madrid,Mastantuono,Delantero,8.0,18,AR,50%,Sano,15,1,0,0,4,0,0,55,3.7,0,1,3
20315,2025/26,25,Levante,Matturro,Defensa,6.0,21,UY,50%,Sano,11,1,0,0,0,1,0.6,37,3.4,3,0,-2
20318,2025/26,25,Getafe,Mayoral,Delantero,10.0,28,ES,0%,Lesionado/Duda,14,4,1,0,0,0,-1,67,4.8,0,0,0
