Equipo,FutFantasy,SofaScore
Villarreal,reina,pepe reina
Cádiz,ousou,aiham ousou
Atlético Madrid,el jebari,salim el jebari
Girona FC,jastin,jastin garcia
Celta Vigo,damian,damian rodriguez
Almería,pena,marcos pena
Barcelona,casado,marc casado
Mallorca,greif,dominik greif
Las Palmas,aaron,aaron escandell
Athletic Club,agirrezabala,julen agirrezabala
Osasuna,osambela,asier osambela
Girona FC,toni villa,toni villa
Getafe,yassin,yassin tallal
Atlético Madrid,abde,abde raihani
Getafe,risco,alberto risco
Valencia,jaume,jaume domenech
Getafe,jeremy,jeremy jorge
Real Madrid,courtois,thibaut courtois
Osasuna,huarte,xabi huarte
Valencia,rivero,cristian rivero
Deportivo Alavés,owono,jesus owono
Osasuna,j. moreno,jorge moreno
Osasuna,svensson,max svensson
Real Madrid,mario martin,mario martin
Granada,marc martinez,marc martinez
Granada,rodelas,sergio rodelas
Getafe,aberdin,nabil aberdin
Athletic Club,olabarrieta,aingeru olabarrieta
Real Sociedad,jon martin,jon martin
Granada,pablo saenz,pablo saenz
Granada,brau,miguel angel brau
Almería,paco sanz,paco sanz
Cádiz,borja,borja vazquez
Rayo Vallecano,cardenas,dani cardenas
Getafe,fuzato,daniel fuzato
Mallorca,cuellar,ivan cuellar
Celta Vigo,rueda,javier rueda
Celta Vigo,lago,yoel lago
Valencia,iranzo,ruben iranzo
Deportivo Alavés,eneko ortiz,eneko ortiz
Athletic Club,gorosabel,andoni gorosabel
Athletic Club,padilla,alex padilla
Getafe,peter,peter gonzalez
Getafe,carles perez,carles perez
Getafe,alex sola,alex sola
Getafe,uche,christantus uche
Real Betis,juanmi,juanmi
Real Betis,perraud,romain perraud
Real Betis,d. llorente,diego llorente
Girona FC,krejci,ladislav krejci
Girona FC,misehouy,gabriel misehouy
Girona FC,almena,iker almena
Girona FC,bryan gil,bryan gil
Girona FC,abel ruiz,abel ruiz
Girona FC,romeu,oriol romeu
Celta Vigo,iglesias,borja iglesias
Celta Vigo,moriba,ilaix moriba
Celta Vigo,javi rodriguez,javi rodriguez
Deportivo Alavés,stoichkov,stoichkov
Deportivo Alavés,villalibre,asier villalibre
Deportivo Alavés,romero,luka romero
Deportivo Alavés,novoa,hugo novoa
Deportivo Alavés,conechny,tomas conechny
Deportivo Alavés,diarra,moussa diarra
Las Palmas,viti rozada,viti rozada
Las Palmas,mckenna,scott mckenna
Las Palmas,fuster,manuel fuster
Las Palmas,bassinga,aboubacar bassinga
Las Palmas,mcburnie,oliver mcburnie
Las Palmas,mata,jaime mata
Las Palmas,cillessen,jasper cillessen
Las Palmas,alex munoz,alex munoz
Sevilla,peque,peque fernandez
Sevilla,carmona,jose angel carmona
Osasuna,bryan,bryan zaragoza
Osasuna,bretones,abel bretones
Leganés,roberto lopez,roberto lopez
Leganés,diego garcia,diego garcia
Leganés,chicco,julian chicco
Leganés,raba,dani raba
Leganés,tapia,renato tapia
Leganés,franquesa,enric franquesa
Leganés,brasanac,darko brasanac
Leganés,cisse,seydouba cisse
Leganés,juan cruz,juan cruz
Leganés,miguel,miguel de la fuente
Leganés,neyou,yvan neyou
Leganés,sergio,sergio gonzalez
Leganés,rosier,valentin rosier
Leganés,soriano,juan soriano
Leganés,aranbarri,aritz arambarri
Leganés,javi hernandez,javier hernandez
Valencia,dani gomez,dani gomez
Valencia,tejon,martin tejon
Valencia,otorbi,david otorbi
Valencia,rafa mir,rafa mir
Barcelona,pau victor,pau victor
Barcelona,martin,gerard martin
Barcelona,bernal,marc bernal
Real Sociedad,sucic,luka sucic
Real Sociedad,sergio gomez,sergio gomez
Real Sociedad,javi lopez,javi lopez
Rayo Vallecano,gumbau,gerard gumbau
Rayo Vallecano,embarba,adrian embarba
Mallorca,asano,takuma asano
Mallorca,mojica,johan mojica
Real Madrid,mbappe,kylian mbappe
Real Valladolid,meseguer,victor meseguer
Real Valladolid,torres,david torres
Real Valladolid,javi sanchez,javi sanchez
Real Valladolid,raul moro,raul moro
Real Valladolid,juric,stanko juric
