Equipo,FutFantasy,SofaScore
Real Valladolid,comert,eray comert
Real Valladolid,luis perez,luis perez
Real Valladolid,ivan sanchez,ivan sanchez
Real Valladolid,hein,karl hein
Real Valladolid,amallah,selim amallah
Real Valladolid,sylla,mamadou sylla
Real Valladolid,boyomo,flavien boyomo
Real Valladolid,kike perez,kike perez
Real Valladolid,rosa,lucas rosa
Real Valladolid,chuki,chuky
Real Valladolid,amath,amath ndiaye
Espanyol,lozano,pol lozano
Espanyol,kral,alex kral
Espanyol,cardona,irvin cardona
Espanyol,aguado,alvaro aguado
Espanyol,veliz,alejo veliz
Espanyol,gragera,jose gragera
Espanyol,jofre,jofre carreras
Espanyol,pere milla,pere milla
Espanyol,puado,javi puado
Espanyol,sergi gomez,sergi gomez
Espanyol,cabrera,leandro cabrera
Espanyol,joan garcia,joan garcia
Espanyol,el hilali,omar el hilali
Espanyol,romero,carlos romero
Espanyol,roca,antoniu roca
Espanyol,tejero,alvaro tejero
Villarreal,ayoze,ayoze perez
Villarreal,pepe,nicolas pepe
Villarreal,danjuma,arnaut danjuma
Villarreal,p. gueye,pape gueye
Villarreal,conde,diego conde
Villarreal,s. cardona,sergi cardona
Atlético Madrid,alvarez,julian alvarez
Atlético Madrid,sorloth,alexander sørloth
Atlético Madrid,le normand,robin le normand
Celta Vigo,carreira,sergio carreira
Celta Vigo,duran,pablo duran
Valencia,rioja,luis rioja
Sevilla,iheanacho,kelechi iheanacho
Sevilla,ejuke,chidera ejuke
Sevilla,saul,saul niguez
Villarreal,barry,thierno barry
Villarreal,kambwala,willy kambwala
Espanyol,olivan,brian olivan
Espanyol,kumbulla,marash kumbulla
Real Sociedad,marin,pablo marin
Rayo Vallecano,pedro diaz,pedro diaz
Real Madrid,endrick,endrick
Real Valladolid,mario martin,mario martin
Real Valladolid,marcos andre,marcos andre
Real Valladolid,machis,darwin machis
Leganés,altimira,adria altimira
Leganés,oscar,oscar rodriguez
Deportivo Alavés,carlos martin,carlos martin
Deportivo Alavés,manu sanchez,manuel sanchez
Real Betis,natan,natan
Real Betis,rodriguez,ricardo rodriguez
Atlético Madrid,gallagher,conor gallagher
Girona FC,miovski,bojan miovski
Villarreal,costa,logan costa
Celta Vigo,alfon,alfon gonzalez
Mallorca,leo roman,leo roman
Mallorca,domenech,marc domenech
Sevilla,lokonga,albert sambi lokonga
Barcelona,olmo,dani olmo
Athletic Club,marton,javier marton
Athletic Club,boiro,adama boiro
Athletic Club,djalo,alvaro djalo
Real Valladolid,latasa,juanmi latasa
Leganés,jorge saenz,jorge saenz
Leganés,munir,munir el haddadi
Espanyol,cheddira,walid cheddira
Espanyol,calero,fernando calero
Deportivo Alavés,pica,adrian pica
Deportivo Alavés,toni martinez,toni martinez
Girona FC,asprilla,yaser asprilla
Girona FC,frances,alejandro frances
Girona FC,van de beek,donny van de beek
Osasuna,javi martinez,javi martinez
Osasuna,benito,iker benito
Real Betis,losada,iker losada
