Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
Kamara,4.0,Getafe,Delantero,16
Kambwala,1.0,Villarreal,Defensa,0
Karrikaburu D,3.0,Real Sociedad,Delantero,9
Kike Barja,4.0,Osasuna,Delantero,39
Kike García D,10.0,Espanyol,Delantero,106
Kike Salas,13.0,Sevilla,Defensa,84
Kiko F.,10.0,Getafe,Defensa,99
Kita,0.25,Real Sociedad,Defensa,0
Kochen,1.0,Barcelona,Portero,0
Koke,13.0,Atlético,Mediocampista,131
Koski,2.0,Alavés,Defensa,1
Kostis,1.0,Atlético,Defensa,0
Kounde,13.0,Barcelona,Defensa,127
Krapyvtsov,3.0,Girona,Portero,3
Kubo,13.0,Real Sociedad,Mediocampista,104
Kumbulla,4.0,Mallorca,Defensa,9
L. Milla,24.0,Getafe,Mediocampista,190
L. Pinillos,2.0,Alavés,Mediocampista,1
Lamine Gueye DI,1.0,Real Oviedo,Delantero,0
Lamine Yamal D,50.0,Barcelona,Delantero,282
Lamini,0.4,Real Madrid,Defensa,0
Laporte,11.0,Athletic,Defensa,81
Lass,1.0,Girona,Mediocampista,0
Le Normand,10.0,Atlético,Defensa,86
Lebarbier,0.25,Real Sociedad,Defensa,0
Lejeune,19.0,Rayo,Defensa,173
Lemar,9.0,Girona,Mediocampista,83
Lenglet,9.0,Atlético,Defensa,58
Leo Román,11.0,Mallorca,Portero,109
Letacek,1.0,Getafe,Portero,0
Lewandowski,10.0,Barcelona,Delantero,123
Llorente,7.0,Betis,Defensa,43
Lo Celso,10.0,Betis,Mediocampista,93
Lookman,6.0,Atlético,Delantero,20
Lucas,7.0,Real Oviedo,Defensa,42
Lucas Beltrán,9.0,Valencia,Mediocampista,80
Lucas Boyé,18.0,Alavés,Delantero,130
Lucas Laso,1.0,Getafe,Defensa,0
Lucas Núñez,1.0,Valencia,Mediocampista,0
Luis Vázquez,10.0,Getafe,Delantero,43
Luiz Felipe,5.0,Rayo,Defensa,26
Lunin,1.0,Real Madrid,Portero,-1
Luvumbo,4.0,Mallorca,Delantero,6
Léo Pétrot,8.0,Elche,Defensa,51
M. Aguado,10.0,Elche,Mediocampista,104
M. Casadó,7.0,Barcelona,Mediocampista,58
M. Dituro,12.0,Elche,Portero,73
M. Narváez,1.0,Real Oviedo,Portero,0
M. Román,11.0,Celta,Mediocampista,92
M. Santos,1.0,Athletic,Portero,0
Maffeo,10.0,Mallorca,Defensa,89
Manu Bueno,4.0,Sevilla,Mediocampista,11
Manu G.,1.0,Betis,Portero,0
Manu Sánchez,9.0,Levante,Defensa,76
Manuel Fernán...,7.0,Celta,Defensa,43
Manuel Ángel,2.0,Real Madrid,Mediocampista,2
Marc Bernal,6.0,Barcelona,Mediocampista,56
Marc Jurado,0.3,Valencia,Defensa,0
Marc Pubill,10.0,Atlético,Defensa,81
Marc Roca,10.0,Betis,Mediocampista,100
Marc Vidal,0.6,Celta,Portero,0
Marcao,8.0,Sevilla,Defensa,46
Marco Esteban,3.0,Real Oviedo,Defensa,2
Marcos Alonso,20.0,Celta,Defensa,152
Marcos Llorente,17.0,Atlético,Defensa,141
Mariano,4.0,Alavés,Delantero,18
Mariezkurrena D,0.4,Real Sociedad,Delantero,0
Mario Martín,9.0,Getafe,Mediocampista,66
Maroan,4.0,Athletic,Delantero,17
Marrero,1.0,Real Sociedad,Portero,0
