Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Luvumbo,Luvumbo,20384,2025/26,32,Mallorca,Delantero,6.0,24,AO,0%,Lesionado/Duda,6,0,2,0,2,0,2.5,27,4.5,0,10,2
M. Alonso,Marcos Alonso,20392,2025/26,32,Celta,Defensa,18.0,35,ES,80%,Sano,27,1,0,0,4,0,1,163,6,6,5,0
M. Llorente,Marcos Llorente,20383,2025/26,32,Atlético,Defensa,16.0,31,ES,70%,Sano,25,0,4,0,5,0,-1,142,5.7,0,0,0
Maffeo,Maffeo,20384,2025/26,32,Mallorca,Defensa,9.0,28,AR,80%,Sano,26,1,1,0,9,0,1.4,108,4.2,4,9,7
Manu Bueno,Manu Bueno,20387,2025/26,32,Sevilla,Mediocampista,4.0,21,ES,30%,Sano,8,0,0,0,2,0,1,15,1.9,3,1,0
Manu Fernández,Manuel Fernán...,20392,2025/26,32,Celta,Defensa,7.0,25,ES,20%,Sano,13,0,0,0,2,0,-1,43,3.3,0,0,0
Manu Sánchez,Manu Sánchez,20385,2025/26,32,Levante,Defensa,9.0,25,ES,90%,Sano,28,1,2,0,8,0,1.7,95,3.4,7,13,0
Marc Roca,Marc Roca,20389,2025/26,32,Betis,Mediocampista,10.0,29,ES,40%,Sano,24,1,1,0,1,0,2,110,4.6,9,0,0
Marc Vidal,Marc Vidal,20392,2025/26,32,Celta,Portero,0.6,26,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Marcão,Marcao,20387,2025/26,32,Sevilla,Defensa,8.0,29,BR,0%,Lesionado/Duda,13,0,0,0,4,1,-1,46,3.5,0,0,0
Mariano,Mariano,20384,2025/26,32,Alavés,Delantero,4.0,32,DO,0%,Sano,10,0,0,0,1,0,-1,18,1.8,0,0,0
Mario Martín,Mario Martín,20386,2025/26,32,Getafe,Mediocampista,8.0,22,ES,50%,Sano,30,2,1,0,9,0,1.3,81,2.7,4,3,8
Marrero,Marrero,20388,2025/26,32,Real Sociedad,Portero,1.0,24,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Martim Neto,Martim Neto,20390,2025/26,32,Elche,Mediocampista,13.0,23,PT,50%,Sano,24,2,5,0,2,0,1,124,5.2,1,6,0
Martín,Gerard Martín,20386,2025/26,32,Barcelona,Defensa,11.0,24,ES,70%,Sano,27,0,0,0,6,0,1,124,4.6,11,3,3
Marín,Marín,20388,2025/26,32,Real Sociedad,Mediocampista,7.0,22,ES,30%,Sano,28,0,1,0,2,0,1,62,2.2,1,2,8
Mascarell,Mascarell,20384,2025/26,32,Mallorca,Mediocampista,10.0,33,GQ,60%,Sano,25,1,2,0,4,0,1.3,109,4.4,6,6,5
Mastantuono,F. Mastantuono,20389,2025/26,32,Real Madrid,Delantero,7.0,18,AR,30%,Sano,18,1,0,0,5,1,0.3,60,3.3,2,0,0
Matturro,Alan Matturo,20385,2025/26,32,Levante,Defensa,7.0,21,UY,30%,Sano,17,1,0,0,0,1,1,56,3.3,0,2,1
Maupay,Maupay,20387,2025/26,32,Sevilla,Delantero,6.0,29,FR,20%,Sano,6,1,0,0,1,0,-1,18,3,0,0,0
Mayoral,B. Mayoral,20386,2025/26,32,Getafe,Delantero,9.0,29,ES,0%,Lesionado/Duda,14,4,1,0,0,0,-1,67,4.8,0,0,0
Mbappé,Mbappé,20389,2025/26,32,Real Madrid,Delantero,46.0,27,FR,90%,Sano,27,24,4,0,4,0,1.2,300,11.1,13,3,3
Mendoza,R. Mendoza,20383,2025/26,32,Atlético,Mediocampista,8.0,21,ES,30%,Sano,6,0,1,0,1,0,1.6,67,3,6,3,0
