Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,29,20356,Elche,Mallorca,1,Valera,German V.,Germán Valera,Mediocampista,24,ES,16.0,90%,Sano,1.1,27.0,153,5.7,0,5,2,4.0,3.0,0.0,3.0,0.0,89,7.7,0,1,3,1,0,4,2,10,2,0,0,0,0,0,0,0,0,0,13,4
2025/26,29,20356,Elche,Mallorca,1,Aguado,M. Aguado,Marc Aguado,Mediocampista,26,ES,10.0,50%,Sano,1.1,27.0,104,3.9,0,3,8,1.0,1.0,0.0,2.0,0.0,79,6.7,0,0,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,5,2
2025/26,29,20356,Elche,Mallorca,1,Rafa Mir,Rafa Mir,Rafa Mir,Delantero,28,ES,10.0,60%,Sano,1.1,23.0,105,4.6,0,6,6,7.0,0.0,0.0,3.0,0.0,80,7.5,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,3
2025/26,29,20356,Elche,Mallorca,1,Alvaro R.,Álvaro,Álvaro Rodriguez,Delantero,21,UY,12.0,50%,Sano,1.0,24.0,117,4.9,0,2,2,5.0,4.0,0.0,0.0,0.0,89,6.1,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,0,0,1,0
2025/26,29,20356,Elche,Mallorca,1,Pedrosa,Pedrosa,Adrià Pedrosa,Defensa,27,ES,6.0,30%,Sano,0.7,18.0,44,2.3,-2,0,2,1.0,1.0,0.0,4.0,0.0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2025/26,29,20356,Elche,Mallorca,1,Sangaré,B. Sangare,Buba Sangare,Defensa,18,ES,5.0,50%,Lesionado/Duda,0.9,3.0,2,0.7,3,-1,0,0.0,0.0,0.0,0.0,0.0,10,6.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,29,20356,Elche,Mallorca,1,Pétrot,Léo Pétrot,Léo Pétrot,Defensa,28,FR,8.0,50%,Sano,0.8,25.0,51,2.0,0,1,1,0.0,0.0,0.0,1.0,0.0,1,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2025/26,29,20356,Elche,Mallorca,1,Villar,G. Villar,Gonzalo Villar,Mediocampista,27,ES,2.0,20%,Sano,1.0,2.0,2,1.0,0,2,0,0.0,0.0,0.0,1.0,0.0,26,6.5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,29,20356,Elche,Mallorca,1,Redondo,Redondo,Federico Redondo,Mediocampista,23,AR,3.0,50%,Sano,0.7,9.0,14,1.6,1,2,0,0.0,0.0,0.0,0.0,1.0,11,6.8,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,1
2025/26,29,20356,Mallorca,Elche,0,Leo Román,Leo Román,Leo Román,Portero,25,ES,11.0,95%,Sano,1.2,23.0,109,4.7,4,2,3,0.0,0.0,1.0,3.0,0.0,90,6.4,0,0,0,0,0,0,8,9,1,2,0,0,0,0,0,0,0,0,2,1
