Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Cabanes,Cabanes,20323,2025/26,26,Villarreal,Delantero,1.0,21,ES,0%,Lesionado/Duda,0,0,0,0,0,0,-1,0,0,0,0,0
Cabrera,Cabrera,20324,2025/26,26,Espanyol,Defensa,10.0,34,UY,95%,Sano,24,3,0,0,2,0,1,108,4.5,-2,-1,7
Calebe,Calebe,20326,2025/26,26,Alavés,Mediocampista,7.0,25,BR,50%,Sano,17,0,0,0,2,0,0.9,48,2.8,1,1,5
Calero,F. Calero,20324,2025/26,26,Espanyol,Defensa,11.0,30,ES,70%,Sano,20,0,0,0,3,0,0.5,94,4.7,1,0,1
Caleta-Car,Caleta-Car,20327,2025/26,26,Real Sociedad,Defensa,10.0,29,HR,60%,Sano,16,1,0,0,4,1,1,59,3.7,10,0,5
Calvo,Dani Calvo,20331,2025/26,26,Real Oviedo,Defensa,8.0,31,ES,95%,Sano,9,0,0,0,3,0,-1,36,4,0,0,0
Camavinga,Camavinga,20330,2025/26,26,Real Madrid,Mediocampista,10.0,23,FR,70%,Sano,19,1,0,0,0,0,1,90,4.7,7,3,6
Camello,Camello,20328,2025/26,26,Rayo,Delantero,5.0,25,ES,10%,Sano,13,0,0,0,2,1,-1,23,1.8,0,0,0
Cancelo,Cancelo,20323,2025/26,26,Barcelona,Defensa,9.0,31,PT,50%,Sano,4,0,1,0,0,0,2.2,29,7.3,16,0,2
Cardoso,Johnny,20331,2025/26,26,Atlético,Mediocampista,7.0,24,US,50%,Sano,10,0,0,0,4,0,0.9,33,3.3,3,0,0
Cardoso,Cardoso,20329,2025/26,26,Sevilla,Defensa,7.0,31,PT,20%,Sano,4,0,0,0,0,0,-1,20,5,0,0,0
Carlos Espí,C. Espí,20326,2025/26,26,Levante,Delantero,4.0,20,ES,20%,Sano,12,1,0,0,1,0,1,24,2,0,4,1
Carlos Martín,Carlos Martín,20328,2025/26,26,Rayo,Mediocampista,4.0,23,ES,10%,Sano,4,0,0,0,1,0,-1,8,2,0,0,1
Carlos Soler,C. Soler,20327,2025/26,26,Real Sociedad,Mediocampista,12.0,29,ES,80%,Sano,20,2,2,0,2,1,1.3,101,5.1,0,3,3
Carmo,David Carmo,20331,2025/26,26,Real Oviedo,Defensa,10.0,26,AO,95%,Sano,18,1,0,0,8,1,1.1,81,4.5,2,1,8
Carmona,Carmona,20329,2025/26,26,Sevilla,Defensa,10.0,24,ES,40%,Sano,23,1,3,0,9,0,0.7,83,3.6,3,1,0
Carreira,Carreira,20325,2025/26,26,Celta,Defensa,10.0,25,ES,50%,Sano,21,2,1,0,2,0,1.6,95,4.5,0,2,1
Carvajal,Carvajal,20330,2025/26,26,Real Madrid,Defensa,6.0,34,ES,30%,Sano,9,0,0,0,0,0,0.7,32,3.6,4,3,0
Casadó,M. Casadó,20323,2025/26,26,Barcelona,Mediocampista,7.0,22,ES,50%,Sano,16,0,1,0,0,0,2,50,3.1,0,0,6
Castrín,A. Castrín,20329,2025/26,26,Sevilla,Defensa,8.0,22,ES,10%,Lesionado/Duda,9,0,0,0,3,0,-1,40,4.4,0,0,0
Catena,Catena,20332,2025/26,26,Osasuna,Defensa,17.0,31,ES,95%,Sano,23,2,2,0,8,1,1.7,134,5.8,5,7,9
Cazorla,S. Cazorla,20331,2025/26,26,Real Oviedo,Mediocampista,6.0,41,ES,30%,Sano,15,0,1,0,0,1,1.4,43,2.9,5,2,2
Ceballos,D. Ceballos,20330,2025/26,26,Real Madrid,Mediocampista,6.0,29,ES,0%,Lesionado/Duda,15,0,0,0,1,0,0.4,45,3,1,2,0
Cepeda,Cepeda,20324,2025/26,26,Elche,Delantero,7.0,23,CL,40%,Sano,4,0,0,0,1,0,1.2,11,2.8,1,5,3
Cervi,Franco Cervi,20325,2025/26,26,Celta,Delantero,1.0,31,AR,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Chaira,Ilyas,20331,2025/26,26,Real Oviedo,Delantero,11.0,25,MA,90%,Sano,22,3,1,0,1,1,1.9,95,4.3,1,7,11
Chimy,Chimy Ávila,20329,2025/26,26,Betis,Delantero,4.0,32,AR,10%,Sano,10,1,0,0,4,0,-1,22,2.2,0,0,0
Chust,V. Chust,20324,2025/26,26,Elche,Defensa,9.0,25,ES,70%,Sano,19,0,0,0,7,1,1.2,57,3,3,8,0
Colombatto,Colobatto,20331,2025/26,26,Real Oviedo,Mediocampista,10.0,29,AR,70%,Sano,19,0,1,0,5,0,1,78,4.1,0,3,9
Comesaña,Comesaña,20323,2025/26,26,Villarreal,Mediocampista,12.0,29,ES,70%,Sano,23,3,2,0,4,1,1.4,110,4.8,12,8,3
Conde,Diego Conde,20323,2025/26,26,Villarreal,Portero,1.0,27,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Copete,Copete,20332,2025/26,26,Valencia,Defensa,10.0,26,ES,0%,Lesionado/Duda,21,0,0,0,5,0,1.2,76,3.6,2,0,0
Cortés,Paco Cortes,20326,2025/26,26,Levante,Delantero,4.0,18,ES,50%,Sano,7,0,0,0,0,0,1.5,14,2,2,5,2
Costa,Costa,20323,2025/26,26,Villarreal,Defensa,4.9,24,CV,0%,Lesionado/Duda,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,0,0,0,0
Costas,David Costas,20331,2025/26,26,Real Oviedo,Defensa,11.0,30,ES,0%,Lesionado/Duda,17,0,0,0,2,0,2,80,4.7,0,0,8
Courtois,Courtois,20330,2025/26,26,Real Madrid,Portero,21.0,33,BE,95%,Sano,25,0,0,0,1,0,1.3,166,6.6,-3,6,6
Cubarsí,Pau Cubrasí,20323,2025/26,26,Barcelona,Defensa,14.0,19,ES,80%,Sano,20,1,0,0,1,0,2.2,105,5.3,0,12,7
Cucho,Cucho,20329,2025/26,26,Betis,Delantero,21.0,26,CO,50%,Sano,20,8,3,0,2,0,1,131,6.6,4,0,0
Cuéllar,Cuéllar,20327,2025/26,26,Mallorca,Portero,1.0,41,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Cuñat Campos,P. Campos,20326,2025/26,26,Levante,Portero,8.0,23,ES,5%,Sano,2,0,0,0,0,0,-1,14,7,0,0,0
Cárdenas,D. Cárdenas,20328,2025/26,26,Rayo,Portero,1.0,28,ES,0%,Lesionado/Duda,0,0,0,0,0,0,-1,0,0,0,0,0
Cömert,Cömert,20332,2025/26,26,Valencia,Defensa,7.0,28,CH,90%,Sano,8,1,0,0,1,0,1.4,35,4.4,1,9,4
D. Duarte,Domingos Duar...,20330,2025/26,26,Getafe,Defensa,10.0,30,PT,80%,Sano,22,0,0,0,8,0,1.1,98,4.5,3,5,6
D. Llorente,Llorente,20329,2025/26,26,Betis,Defensa,7.0,32,ES,70%,Sano,8,1,0,0,2,0,1.3,39,4.9,3,2,11
Danjuma,Danjuma,20332,2025/26,26,Valencia,Delantero,11.0,29,NL,50%,Sano,23,3,2,0,0,0,0.7,108,4.7,1,0,2
Darder,Darder,20327,2025/26,26,Mallorca,Mediocampista,14.0,32,ES,70%,Sano,25,1,3,0,3,0,0.8,130,5.2,3,11,2
David López,David López,20325,2025/26,26,Girona,Defensa,3.0,36,ES,5%,Sano,3,0,0,0,0,0,-1,4,1.3,0,0,0
David López,David López,20327,2025/26,26,Mallorca,Defensa,6.0,23,ES,35%,Sano,5,0,0,0,1,0,1.8,19,3.8,0,2,4
Davinchi,Davinchi,20330,2025/26,26,Getafe,Defensa,5.0,18,ES,0%,Lesionado/Duda,7,0,0,0,1,0,-1,19,2.7,0,0,0
De Frutos,De Frutos,20328,2025/26,26,Rayo,Delantero,17.0,29,ES,90%,Sano,22,7,1,0,2,0,1.3,126,5.7,3,3,9
De la Fuente,Dela,20326,2025/26,26,Levante,Defensa,10.0,27,ES,80%,Sano,22,2,1,0,4,0,1.2,82,3.7,0,4,2
Dendoncker,Dendoncker,20331,2025/26,26,Real Oviedo,Mediocampista,9.0,30,BE,20%,Sano,19,1,0,0,2,0,1.1,61,3.2,0,0,2
Denis Suárez,Denis Suárez,20326,2025/26,26,Alavés,Mediocampista,8.0,32,ES,30%,Sano,20,1,0,0,4,0,0.8,61,3.1,2,2,2
Deossa,Nelson Deossa,20329,2025/26,26,Betis,Mediocampista,6.0,26,CO,30%,Sano,15,0,0,0,3,0,1,43,2.9,1,2,3
Diabaté,Diabate,20326,2025/26,26,Alavés,Delantero,1.0,26,CI,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Diakhaby,Diakhaby,20332,2025/26,26,Valencia,Defensa,8.0,29,GN,0%,Lesionado/Duda,8,1,0,0,3,0,-1,38,4.8,0,0,0
Diangana,Grady Diangana,20324,2025/26,26,Elche,Delantero,6.0,27,CD,50%,Lesionado/Duda,13,1,0,0,2,0,1.5,31,2.4,0,0,0
Diego López,Diego López,20332,2025/26,26,Valencia,Delantero,10.0,23,ES,30%,Lesionado/Duda,22,3,0,0,2,0,-1,78,3.5,0,0,0
Diego Rico,Rico,20330,2025/26,26,Getafe,Defensa,9.0,33,ES,50%,Sano,21,0,0,0,3,0,1,60,2.9,2,-1,2
Dimitrievski,Dimitrievski,20332,2025/26,26,Valencia,Portero,9.0,32,MK,95%,Sano,7,0,0,0,0,0,1.3,37,5.3,4,10,4
