ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20320,2025/26,25,Local,Rodríguez,Desconocido,33,CH,70%,Sano,16,0,1,0,0,0,1.3,67,4.2,3,8,3
20320,2025/26,25,Local,Bartra,Desconocido,35,ES,40%,Sano,20,1,0,0,3,0,1.2,114,5.7,3,2,5
20320,2025/26,25,Local,Pau López,Desconocido,31,ES,30%,Sano,8,0,0,1,1,0,-1,56,7,0,0,0
20320,2025/26,25,Local,Valentín Gómez,Desconocido,22,AR,30%,Sano,17,1,0,0,4,0,-1,67,3.9,0,0,2
20320,2025/26,25,Local,Deossa,Desconocido,26,CO,30%,Sano,14,0,0,0,2,0,1.8,42,3,2,3,3
20320,2025/26,25,Local,Cucho,Desconocido,26,CO,20%,Lesionado/Duda,19,8,3,0,2,0,-1,127,6.7,0,0,0
20320,2025/26,25,Local,Ortiz,Desconocido,21,ES,20%,Sano,10,0,0,0,1,0,1,25,2.5,2,0,2
20320,2025/26,25,Local,Riquelme,Desconocido,25,ES,20%,Sano,17,0,1,0,1,0,1,45,2.6,0,2,0
20320,2025/26,25,Local,Altimira,Desconocido,24,ES,20%,Sano,16,1,1,0,2,0,1,60,3.8,2,2,2
20320,2025/26,25,Local,Chimy,Desconocido,32,AR,10%,Lesionado/Duda,10,1,0,0,4,0,1.5,22,2.2,0,0,9
20320,2025/26,25,Local,Pablo García,Desconocido,19,ES,10%,Sano,14,0,0,0,1,0,1,31,2.2,0,0,2
20320,2025/26,25,Local,Junior,Desconocido,29,DO,10%,Sano,8,0,1,0,2,0,-1,29,3.6,0,0,0
20320,2025/26,25,Local,Bellerín,Desconocido,30,ES,0%,Lesionado/Duda,16,0,2,0,1,0,-1,68,4.3,0,0,0
20320,2025/26,25,Local,Adrián,Desconocido,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20320,2025/26,25,Local,Isco,Desconocido,33,ES,0%,Lesionado/Duda,1,0,1,0,0,0,-1,10,10,0,0,0
20320,2025/26,25,Local,Lo Celso,Desconocido,29,AR,0%,Lesionado/Duda,17,2,2,0,3,0,-1,93,5.5,0,0,0
20320,2025/26,25,Local,S. Amrabat,Desconocido,29,MA,0%,Lesionado/Duda,8,0,0,0,3,0,-1,32,4,0,0,0
20320,2025/26,25,Visitante,Espino,Desconocido,34,UY,50%,Sano,17,1,0,0,1,0,1.5,44,2.6,7,0,0
20320,2025/26,25,Visitante,Ratiu,Desconocido,27,RO,90%,Sano,20,0,2,0,6,0,2.1,116,5.8,15,-1,0
20320,2025/26,25,Visitante,Gumbau,Desconocido,31,ES,50%,Sano,16,0,1,0,3,0,1.3,36,2.3,8,0,0
20320,2025/26,25,Visitante,Akhomach,Desconocido,21,MA,70%,Sano,3,0,0,0,1,0,1.9,32,2.7,8,3,1
20320,2025/26,25,Visitante,Batalla,Portero,29,AR,95%,Sano,23,0,0,0,4,0,1.6,140,6.1,10,2,2
20320,2025/26,25,Visitante,Isi,Desconocido,31,ES,80%,Sano,22,2,3,0,7,0,1.8,99,4.5,5,1,10
