ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Precio_Fantastica,Puntos_PFSY
20315,2025/26,25,Barcelona,Joan Garcia,Portero,24,ES,95%,Sano,18.0,0.0,0.0,0.0,1.0,0.0,1.9,162,9.0,11.0,12,9.0,31.0,162.0
20315,2025/26,25,Barcelona,Cubarsí,Desconocido,19,ES,90%,Sano,20.0,1.0,0.0,0.0,1.0,0.0,2.0,105,5.3,12.0,7,3.0,14.0,105.0
20315,2025/26,25,Barcelona,Raphinha,Desconocido,29,BR,90%,Sano,15.0,8.0,3.0,0.0,2.0,0.0,1.8,127,8.5,5.0,0,4.0,20.0,127.0
20315,2025/26,25,Barcelona,F. de Jong,Desconocido,28,NL,90%,Sano,18.0,0.0,4.0,0.0,6.0,1.0,1.4,104,5.8,2.0,0,12.0,17.0,104.0
20315,2025/26,25,Barcelona,Ferran,Desconocido,25,ES,50%,Sano,22.0,12.0,1.0,0.0,2.0,0.0,1.1,144,6.5,3.0,1,11.0,20.0,144.0
20315,2025/26,25,Barcelona,Yamal,Desconocido,18,ES,95%,Sano,20.0,10.0,8.0,0.0,0.0,0.0,1.8,237,11.9,5.0,11,13.0,43.0,237.0
20315,2025/26,25,Barcelona,Lewandowski,Desconocido,37,PL,50%,Sano,19.0,10.0,1.0,0.0,2.0,0.0,1.3,108,5.7,2.0,10,2.0,11.0,108.0
20315,2025/26,25,Barcelona,Martín,Desconocido,23,ES,50%,Sano,20.0,0.0,0.0,0.0,4.0,0.0,1.0,82,4.1,4.0,0,0.0,10.0,82.0
20315,2025/26,25,Barcelona,Casadó,Desconocido,22,ES,40%,Sano,16.0,0.0,1.0,0.0,0.0,0.0,2.0,50,3.1,0.0,6,2.0,7.0,50.0
20315,2025/26,25,Barcelona,Cancelo,Desconocido,31,PT,40%,Sano,3.0,0.0,0.0,0.0,0.0,0.0,1.0,13,4.3,0.0,2,0.0,,
20315,2025/26,25,Barcelona,Araújo,Desconocido,26,UY,30%,Sano,13.0,2.0,0.0,0.0,2.0,0.0,0.8,48,3.7,1.0,0,2.0,8.0,48.0
