Temporada,Jornada,Equipo_Nombre,Jugador_stats,Jugador_SofaScore,Stats_Reales,Puntos_Teoricos,Discrepancia
T24-25,J14,Espanyol,Álvaro Tejero,Álvaro Tejero,-2,6,-8
T24-25,J6,Villarreal,Diego Conde,Diego Conde,1,9,-8
T24-25,J6,Villarreal,Eric Bailly,Eric Bailly,-4,4,-8
T24-25,J12,Leganés,Matija Nastasić,Matija Nastasić,-4,4,-8
T24-25,J10,Espanyol,Joan García,Joan García,1,9,-8
T24-25,J15,Real Valladolid,Karl Hein,Karl Hein,0,8,-8
T24-25,J15,Villarreal,Sergi Cardona,Sergi Cardona,0,8,-8
T25-26,J11,Athletic Club,Yuri Berchiche,Yuri Berchiche,0,8,-8
T25-26,J25,Espanyol,Leandro Cabrera,Leandro Cabrera,-2,6,-8
T25-26,J10,Barcelona,Pedri,Pedri,-2,6,-8
T24-25,J16,Real Valladolid,Mamadou Sylla,Mamadou Sylla,1,9,-8
T23-24,J12,Osasuna,Sergio Herrera,Sergio Herrera,-3,5,-8
T23-24,J12,Osasuna,Johan Mojica,Johan Mojica,4,12,-8
T23-24,J12,Osasuna,Alejandro Catena,Alejandro Catena,-3,5,-8
T25-26,J24,Celta Vigo,Sergio Carreira,Sergio Carreira,0,8,-8
T23-24,J7,Almería,Edgar González,Edgar González,-1,7,-8
T24-25,J17,Barcelona,Jules Koundé,Jules Koundé,2,10,-8
T24-25,J10,Espanyol,Omar El Hilali,Omar El Hilali,-3,5,-8
T24-25,J17,Real Valladolid,Abdulay Juma Bah,Abdulay Juma Bah,0,8,-8
T25-26,J9,Girona FC,Álex Moreno,Álex Moreno,0,8,-8
T24-25,J8,Barcelona,Iñaki Peña,Iñaki Peña,-1,7,-8
T24-25,J1,Villarreal,Diego Conde,Diego Conde,4,12,-8
T23-24,J13,Celta Vigo,Kevin Vázquez,Kevin Vázquez,-2,6,-8
T23-24,J13,Celta Vigo,Óscar Mingueza,Óscar Mingueza,-1,7,-8
T23-24,J13,Celta Vigo,Carl Starfelt,Carl Starfelt,0,8,-8
T23-24,J29,Sevilla,Marcos Acuña,Marcos Acuña,1,9,-8
T23-24,J6,Mallorca,Matija Nastasić,Matija Nastasić,0,8,-8
T25-26,J8,Barcelona,Wojciech Szczęsny,Wojciech Szczęsny,-1,7,-8
T25-26,J8,Barcelona,Jules Koundé,Jules Koundé,-3,5,-8
T24-25,J18,Leganés,Adrià Altimira,Adrià Altimira,-4,4,-8
T24-25,J19,Mallorca,Leo Román,Leo Román,0,8,-8
T23-24,J3,Rayo Vallecano,Aridane Hernández,Aridane Hernández,-3,5,-8
T24-25,J18,Sevilla,Álvaro Fernández,Álvaro Fernández,-1,7,-8
T23-24,J5,Real Betis,Marc Bartra,Marc Bartra,-1,7,-8
T24-25,J18,Leganés,Marko Dmitrović,Marko Dmitrović,1,9,-8
T23-24,J9,Osasuna,Jesús Areso,Jesús Areso,-2,6,-8
T25-26,J8,Real Oviedo,Abdel Rahim,Abdel Rahim,0,8,-8
T25-26,J16,Real Oviedo,Aarón Escandell,Aarón Escandell,0,8,-8
T23-24,J13,Valencia,Gabriel Paulista,Gabriel Paulista,-2,6,-8
T23-24,J32,Cádiz,Jeremías Ledesma,Jeremías Ledesma,-2,6,-8
T23-24,J29,Osasuna,Unai García,Unai García,-2,6,-8
T23-24,J5,Getafe,Damián Suárez,Damián Suárez,4,12,-8
T23-24,J37,Villarreal,Filip Jørgensen,Filip Jørgensen,-1,7,-8
T24-25,J19,Mallorca,Antonio Raíllo,Antonio Raíllo,-3,5,-8
T25-26,J7,Real Madrid,Thibaut Courtois,Thibaut Courtois,-1,7,-8
T25-26,J15,Real Betis,Álvaro Valles,Álvaro Valles,1,9,-8
T23-24,J28,Celta Vigo,Vicente Guaita,Vicente Guaita,2,10,-8
T23-24,J28,Celta Vigo,Javier Manquillo,Javier Manquillo,-2,6,-8
T24-25,J20,Real Betis,Jesús Rodriguez,Jesús Rodriguez,0,8,-8
T25-26,J6,Valencia,Julen Agirrezabala,Julen Agirrezabala,3,11,-8
